pdb	alpha_helical(%)	beta_strand(%)	coil(%)
2cih	47.4	27.72	24.88
7o6d	47.4	27.72	24.88
8gtm	47.4	27.72	24.88
4g33	47.4	27.72	24.88
8pwv	47.4	27.72	24.88
8ic6	47.39	27.72	24.89
4nej	47.39	27.72	24.89
5wlk	47.39	27.72	24.89
5lid	47.39	27.73	24.89
5wo4	47.39	27.73	24.89
4rhh	47.38	27.73	24.89
3t49	47.38	27.73	24.89
3ae1	47.38	27.73	24.89
2huc	47.38	27.73	24.89
8sbj	47.38	27.73	24.89
3wmm	47.38	27.73	24.89
4iwf	47.38	27.73	24.89
1rfy	47.38	27.73	24.89
4ppx	47.38	27.73	24.89
5yb0	47.38	27.73	24.89
5zk3	47.38	27.73	24.89
7wup	47.38	27.73	24.89
6ca8	47.38	27.73	24.89
4fl5	47.38	27.73	24.89
8c7t	47.38	27.73	24.89
5dhk	47.38	27.73	24.89
3nkx	47.38	27.73	24.89
3au3	47.38	27.73	24.89
5d8x	47.4	27.72	24.88
3eg5	47.4	27.72	24.88
1i6h	47.39	27.73	24.88
6yq2	47.39	27.73	24.88
8b1b	47.39	27.73	24.88
5vxm	47.39	27.73	24.88
2j1d	47.39	27.73	24.88
1zrt	47.39	27.73	24.88
6lz4	47.39	27.73	24.88
7eef	47.39	27.73	24.88
2wr7	47.38	27.73	24.89
4dcn	47.39	27.73	24.89
4gou	47.39	27.73	24.89
2cj8	47.39	27.73	24.88
1f9o	47.39	27.73	24.89
1v8x	47.39	27.73	24.88
5xsd	47.39	27.73	24.88
4l9t	47.39	27.73	24.88
3spr	47.39	27.73	24.88
1kwt	47.39	27.73	24.88
8qfx	47.39	27.73	24.88
1t8z	47.39	27.72	24.88
4g2k	47.39	27.72	24.88
4nso	47.39	27.72	24.88
1j59	47.39	27.72	24.88
5f7l	47.39	27.72	24.88
3te3	47.39	27.72	24.88
2e8x	47.39	27.72	24.88
7nmx	47.4	27.72	24.88
5tpt	47.4	27.72	24.88
6hk5	47.4	27.72	24.88
6jlb	47.41	27.72	24.88
1njz	47.41	27.72	24.88
1qu1	47.41	27.72	24.88
3wod	47.4	27.72	24.88
8pe3	47.4	27.72	24.88
6avz	47.4	27.72	24.88
8e7y	47.4	27.72	24.88
5zx2	47.39	27.72	24.88
4u67	47.38	27.73	24.89
5fky	47.38	27.73	24.89
8fuc	47.38	27.73	24.89
3jps	47.38	27.73	24.89
7vr5	47.38	27.73	24.89
2ixr	47.38	27.73	24.89
7rix	47.37	27.73	24.89
4zzz	47.37	27.73	24.89
6xvb	47.37	27.73	24.89
5doq	47.37	27.73	24.89
1nk6	47.37	27.73	24.89
4cgv	47.38	27.73	24.89
3q2a	47.38	27.73	24.89
8yjo	47.38	27.73	24.89
2pz5	47.38	27.73	24.89
2jkt	47.38	27.73	24.89
3uof	47.38	27.73	24.89
6mu4	47.38	27.73	24.89
6eiu	47.38	27.73	24.89
6bmi	47.38	27.73	24.89
3odx	47.39	27.73	24.89
4pd4	47.38	27.73	24.89
1nze	47.38	27.73	24.89
4ojl	47.37	27.73	24.89
3wdk	47.37	27.73	24.89
7o5g	47.37	27.73	24.89
4xmn	47.37	27.74	24.89
1fs0	47.37	27.74	24.89
2hjm	47.37	27.74	24.89
5kba	47.37	27.74	24.89
4wvm	47.37	27.74	24.89
3aob	47.37	27.74	24.9
8hv5	47.37	27.74	24.9
3vbb	47.36	27.74	24.9
5p9f	47.36	27.74	24.9
4m1m	47.37	27.74	24.89
8fur	47.37	27.74	24.89
7p8k	47.37	27.74	24.89
8c45	47.37	27.74	24.89
4mhc	47.37	27.74	24.89
8vff	47.37	27.74	24.89
6d8d	47.36	27.74	24.9
5z86	47.36	27.74	24.9
5tyd	47.36	27.74	24.9
5hg7	47.36	27.74	24.9
3aq0	47.37	27.74	24.89
2ygw	47.37	27.74	24.89
7ek4	47.37	27.74	24.89
6hs5	47.37	27.74	24.89
4tq5	47.38	27.73	24.89
8omv	47.38	27.73	24.89
3upq	47.38	27.73	24.89
3o8j	47.38	27.73	24.89
3p30	47.38	27.73	24.89
4dem	47.38	27.73	24.89
4qkv	47.38	27.73	24.89
2oa7	47.38	27.73	24.89
6mkn	47.38	27.73	24.89
3f89	47.38	27.73	24.89
5kai	47.38	27.73	24.89
4dzp	47.38	27.73	24.89
6kkv	47.38	27.73	24.89
1ia7	47.38	27.73	24.89
6gnk	47.38	27.73	24.89
3e30	47.38	27.73	24.89
8v2l	47.37	27.73	24.89
6kon	47.37	27.74	24.89
6vnv	47.37	27.74	24.89
3lv2	47.37	27.74	24.9
4zf7	47.37	27.74	24.9
6m5a	47.37	27.74	24.9
7m5z	47.36	27.74	24.9
2ffz	47.37	27.74	24.9
8k86	47.37	27.74	24.9
2z68	47.37	27.74	24.9
2vww	47.37	27.74	24.9
3nmx	47.37	27.73	24.9
4d1e	47.37	27.73	24.89
6fnb	47.37	27.73	24.89
2cj4	47.38	27.73	24.89
5hl7	47.36	27.74	24.9
6lkp	47.37	27.74	24.9
3n4x	47.37	27.73	24.9
5mk3	47.37	27.73	24.9
7nnd	47.37	27.73	24.9
5y69	47.37	27.73	24.9
6yek	47.37	27.73	24.9
7eqh	47.37	27.73	24.89
8ts7	47.37	27.73	24.9
4pk7	47.37	27.73	24.89
3htk	47.38	27.73	24.89
6pbm	47.37	27.73	24.89
4tup	47.37	27.73	24.89
3kfa	47.37	27.73	24.89
5xtr	47.38	27.73	24.89
3kdy	47.38	27.73	24.89
8kck	47.38	27.73	24.89
3lt6	47.38	27.73	24.89
5vmf	47.37	27.73	24.9
4gk3	47.37	27.73	24.9
8tcx	47.37	27.73	24.9
5nk7	47.37	27.73	24.9
1u59	47.37	27.73	24.9
5gio	47.37	27.73	24.9
7eaa	47.37	27.73	24.9
5mfb	47.37	27.73	24.9
7w3e	47.38	27.73	24.89
3vhz	47.38	27.73	24.89
8k9c	47.38	27.73	24.89
3c1y	47.38	27.73	24.89
3pko	47.38	27.73	24.89
6nly	47.38	27.73	24.89
1l3t	47.38	27.73	24.89
1kt0	47.38	27.73	24.89
3v8w	47.38	27.73	24.89
7nfi	47.38	27.73	24.89
6sar	47.38	27.73	24.89
5l3f	47.38	27.73	24.89
6q4r	47.38	27.73	24.89
8bk0	47.38	27.73	24.89
1xnr	47.38	27.73	24.89
8cy5	47.37	27.73	24.9
7khv	47.37	27.73	24.9
2pg0	47.37	27.73	24.9
3ibg	47.37	27.73	24.9
1i4d	47.37	27.73	24.89
6wbe	47.37	27.73	24.89
7xbq	47.38	27.73	24.89
5sxj	47.37	27.73	24.89
4hzf	47.37	27.73	24.89
2hel	47.37	27.73	24.89
6tfy	47.37	27.73	24.89
1pkx	47.37	27.73	24.9
6cap	47.37	27.74	24.9
2v4j	47.36	27.74	24.9
5zb4	47.36	27.74	24.9
2o7m	47.36	27.74	24.9
6mbl	47.36	27.74	24.9
4xri	47.36	27.74	24.9
3jq1	47.36	27.74	24.9
1tdw	47.36	27.74	24.9
2aua	47.36	27.74	24.9
7e6z	47.36	27.74	24.9
1ztm	47.36	27.74	24.9
6npu	47.36	27.74	24.9
7lqj	47.36	27.74	24.9
4mey	47.35	27.74	24.9
6fqs	47.35	27.74	24.9
7a0n	47.36	27.74	24.9
1mql	47.35	27.74	24.91
3qsv	47.35	27.74	24.91
6zog	47.35	27.74	24.91
3ipd	47.35	27.74	24.9
6gag	47.35	27.74	24.9
6qhm	47.36	27.74	24.9
7m44	47.36	27.74	24.9
3vpo	47.36	27.74	24.9
4efe	47.36	27.74	24.9
8td3	47.36	27.74	24.9
8w6y	47.36	27.74	24.9
4dv4	47.35	27.74	24.91
1lt1	47.35	27.74	24.91
4uox	47.35	27.74	24.91
4ncq	47.35	27.74	24.91
5mbe	47.35	27.74	24.91
4doj	47.36	27.74	24.9
6st5	47.36	27.74	24.9
7nmj	47.36	27.74	24.9
3oy3	47.36	27.74	24.9
5usq	47.36	27.74	24.9
7p0r	47.36	27.74	24.9
4phd	47.36	27.74	24.9
1uvh	47.36	27.74	24.9
1afa	47.36	27.74	24.9
7ae8	47.36	27.74	24.9
3ae8	47.36	27.74	24.9
3myf	47.36	27.74	24.9
5k92	47.36	27.74	24.9
5xa0	47.36	27.74	24.9
3rkl	47.36	27.74	24.9
4mtx	47.37	27.73	24.9
1j3u	47.37	27.73	24.9
8cqn	47.37	27.73	24.9
6kk1	47.37	27.73	24.9
5ufl	47.37	27.73	24.9
7b9m	47.37	27.73	24.9
2wnn	47.37	27.73	24.9
6j7a	47.37	27.73	24.9
3u4j	47.37	27.73	24.9
3bpn	47.37	27.73	24.9
7bix	47.36	27.74	24.9
5llu	47.36	27.73	24.9
6m8c	47.36	27.73	24.9
5hop	47.36	27.73	24.9
3ze5	47.37	27.73	24.9
3re2	47.37	27.73	24.9
5ovg	47.37	27.73	24.9
6gxj	47.37	27.73	24.9
1uix	47.37	27.73	24.9
4mn9	47.37	27.73	24.9
5cf4	47.37	27.73	24.9
5jhc	47.37	27.73	24.9
4xlq	47.36	27.74	24.9
7xad	47.36	27.74	24.91
3cl3	47.36	27.74	24.9
6pwd	47.36	27.74	24.91
6eiy	47.36	27.74	24.91
5gnr	47.36	27.74	24.91
3lbc	47.36	27.74	24.91
2vwx	47.35	27.74	24.91
8boi	47.35	27.74	24.91
8jmz	47.35	27.74	24.91
4i1m	47.35	27.74	24.91
5l6o	47.35	27.74	24.91
1ebo	47.36	27.74	24.9
7e6x	47.36	27.74	24.9
4iu9	47.36	27.74	24.9
7opi	47.36	27.74	24.9
3trt	47.36	27.74	24.9
8ict	47.36	27.74	24.9
2lig	47.36	27.74	24.9
1yjw	47.35	27.74	24.91
8kh8	47.35	27.74	24.91
3qs6	47.35	27.74	24.91
4ivb	47.35	27.74	24.91
3c1z	47.35	27.74	24.91
6hyr	47.35	27.74	24.91
5dj3	47.35	27.75	24.91
5x1b	47.35	27.74	24.91
3a7p	47.35	27.74	24.91
2ipz	47.35	27.74	24.91
5ek3	47.35	27.74	24.91
7s9p	47.35	27.74	24.91
7dxp	47.35	27.74	24.91
1r0d	47.36	27.74	24.9
8rxa	47.36	27.74	24.9
3moo	47.36	27.74	24.9
5t01	47.36	27.74	24.9
1ejy	47.36	27.74	24.9
6x3m	47.35	27.74	24.91
5nka	47.35	27.74	24.91
5zme	47.35	27.74	24.91
4wy4	47.35	27.74	24.91
2bw1	47.35	27.74	24.91
5zo6	47.35	27.74	24.91
7t4j	47.35	27.74	24.91
8c1y	47.35	27.74	24.91
6wiw	47.35	27.74	24.91
5sxe	47.35	27.74	24.91
7ypz	47.35	27.74	24.91
8qf8	47.35	27.74	24.91
6fnl	47.35	27.74	24.91
4w8p	47.35	27.74	24.91
6o3i	47.35	27.74	24.91
5nkl	47.35	27.74	24.91
3nrx	47.35	27.74	24.91
4gtp	47.35	27.74	24.91
5k9q	47.33	27.75	24.92
2wg6	47.33	27.75	24.92
5i9d	47.33	27.75	24.92
5fy4	47.33	27.75	24.92
6wng	47.33	27.75	24.92
5k3h	47.33	27.75	24.92
1elq	47.33	27.75	24.92
8fbi	47.33	27.75	24.92
6z6r	47.33	27.75	24.92
5b6b	47.34	27.74	24.92
5bpw	47.33	27.75	24.92
6mjl	47.33	27.74	24.92
5uh8	47.33	27.75	24.92
4h7r	47.33	27.75	24.92
5zvk	47.33	27.75	24.92
4p18	47.34	27.74	24.92
5cmu	47.34	27.74	24.92
8acy	47.34	27.74	24.92
6e3x	47.34	27.74	24.92
6tuy	47.34	27.74	24.92
8ejb	47.34	27.74	24.92
7nj8	47.34	27.74	24.92
3na7	47.34	27.74	24.92
4pr9	47.35	27.74	24.92
5ltm	47.35	27.74	24.92
6plm	47.35	27.74	24.92
6twy	47.35	27.74	24.92
6j6m	47.35	27.74	24.92
3ibp	47.35	27.74	24.92
2ahm	47.35	27.74	24.92
7xhv	47.35	27.74	24.92
4fp4	47.35	27.74	24.91
2cbj	47.35	27.74	24.92
1hgg	47.34	27.74	24.92
2q8g	47.34	27.74	24.92
7m4l	47.34	27.74	24.92
6m0u	47.34	27.74	24.92
2q0b	47.34	27.74	24.92
5k7y	47.34	27.74	24.92
1zv7	47.34	27.74	24.92
4zp2	47.34	27.74	24.92
6ur2	47.34	27.74	24.92
4buo	47.35	27.74	24.92
4tko	47.35	27.74	24.92
2cko	47.35	27.74	24.92
3uwo	47.35	27.74	24.92
6kqm	47.34	27.74	24.92
7wxq	47.34	27.74	24.92
2y3b	47.34	27.74	24.92
4eva	47.34	27.74	24.92
7ank	47.35	27.74	24.92
3c1x	47.35	27.74	24.92
3p7i	47.34	27.74	24.92
5ew5	47.34	27.74	24.92
1tny	47.35	27.74	24.92
1uf2	47.34	27.74	24.92
5yny	47.34	27.74	24.92
5n2u	47.34	27.74	24.92
6aec	47.34	27.74	24.92
6prc	47.34	27.74	24.92
4dfj	47.34	27.74	24.92
5aem	47.34	27.74	24.92
5cvy	47.34	27.74	24.92
5aqs	47.34	27.74	24.92
8drd	47.34	27.74	24.92
6jz0	47.34	27.74	24.92
4i0a	47.34	27.74	24.92
5y9o	47.34	27.74	24.92
6h0f	47.31	27.75	24.93
6cqh	47.31	27.75	24.94
1f7u	47.31	27.75	24.93
7o6s	47.31	27.75	24.93
4eeq	47.31	27.75	24.94
4in3	47.31	27.75	24.93
4n6c	47.31	27.75	24.93
5lc9	47.31	27.75	24.93
6m98	47.31	27.75	24.93
5i7d	47.32	27.75	24.93
7b9t	47.32	27.75	24.93
8c87	47.32	27.75	24.93
6kw7	47.32	27.75	24.93
8c4g	47.32	27.75	24.93
8t93	47.32	27.75	24.93
7lq3	47.32	27.75	24.93
8a7a	47.32	27.75	24.93
4zh4	47.31	27.75	24.94
3rh6	47.31	27.75	24.94
5j8s	47.31	27.75	24.94
5yo4	47.31	27.75	24.94
2bpg	47.31	27.75	24.94
1unv	47.31	27.75	24.94
1tu3	47.31	27.75	24.94
2y1j	47.31	27.75	24.94
3q4n	47.31	27.75	24.94
8i7s	47.31	27.75	24.94
4ca6	47.31	27.75	24.94
7eec	47.31	27.75	24.94
8upa	47.31	27.75	24.94
6hq6	47.31	27.75	24.94
4jq8	47.31	27.76	24.94
5czi	47.3	27.76	24.94
6p87	47.3	27.76	24.94
6p89	47.3	27.76	24.94
1x76	47.3	27.76	24.94
1w3b	47.3	27.76	24.94
4k0j	47.3	27.76	24.94
6bs9	47.3	27.76	24.94
8is6	47.3	27.76	24.94
5t65	47.3	27.76	24.94
6u2t	47.31	27.76	24.94
4ady	47.31	27.75	24.94
5u8l	47.31	27.75	24.94
3ez6	47.31	27.76	24.94
3o4x	47.32	27.75	24.93
1uus	47.32	27.75	24.93
6q4n	47.32	27.75	24.93
4ax0	47.32	27.75	24.93
1bs2	47.32	27.75	24.93
7ppv	47.32	27.75	24.93
4rxc	47.32	27.75	24.93
4lzg	47.32	27.75	24.93
6qv7	47.32	27.75	24.93
4phq	47.32	27.75	24.93
5a61	47.32	27.75	24.93
2fji	47.33	27.75	24.93
5tq3	47.33	27.75	24.93
5uaw	47.33	27.75	24.93
5i9w	47.33	27.75	24.93
8f4f	47.33	27.75	24.93
4nzy	47.33	27.75	24.93
2dpd	47.33	27.75	24.93
4bhv	47.33	27.74	24.93
6bkh	47.33	27.74	24.93
8wy1	47.33	27.74	24.93
3vmy	47.33	27.74	24.93
7rut	47.33	27.74	24.93
3rgw	47.33	27.74	24.93
3wkt	47.33	27.74	24.93
3as8	47.33	27.74	24.93
1tf4	47.33	27.74	24.93
1rrj	47.33	27.74	24.93
5nqn	47.33	27.74	24.93
1x91	47.33	27.74	24.93
6wva	47.33	27.74	24.93
3ac5	47.33	27.74	24.93
2gl2	47.33	27.74	24.93
6ado	47.33	27.74	24.93
3vop	47.33	27.74	24.92
6fnk	47.33	27.74	24.92
3p4k	47.33	27.74	24.93
5lmf	47.33	27.74	24.92
4yjw	47.33	27.74	24.92
1fz6	47.34	27.74	24.92
6iiv	47.34	27.74	24.92
6nv2	47.34	27.74	24.92
3ad5	47.34	27.74	24.92
5jcf	47.34	27.74	24.92
2z0o	47.34	27.74	24.92
7znc	47.34	27.74	24.92
8apq	47.34	27.74	24.92
5vtd	47.34	27.74	24.92
6c12	47.34	27.74	24.92
6pfv	47.34	27.74	24.92
4m9l	47.34	27.74	24.92
7afw	47.34	27.74	24.92
5upi	47.34	27.74	24.92
6y8d	47.34	27.74	24.92
4ji1	47.33	27.74	24.93
6s87	47.33	27.74	24.93
4qzc	47.33	27.74	24.93
5j1f	47.34	27.74	24.93
1fio	47.34	27.74	24.92
6qp4	47.34	27.74	24.92
5bqz	47.33	27.74	24.93
6p1v	47.33	27.74	24.93
6dht	47.33	27.74	24.93
6slv	47.33	27.74	24.93
4rue	47.34	27.74	24.93
6iur	47.34	27.73	24.92
7rk0	47.34	27.73	24.92
2wxu	47.34	27.73	24.92
5fz4	47.34	27.73	24.92
1kdd	47.34	27.73	24.92
2ara	47.34	27.73	24.92
7q0n	47.34	27.73	24.92
4gfg	47.34	27.73	24.92
3zm9	47.34	27.73	24.92
2wrf	47.33	27.74	24.93
2yi9	47.32	27.74	24.93
3wiw	47.32	27.74	24.93
4bbs	47.32	27.75	24.94
5c5b	47.32	27.75	24.93
8ent	47.31	27.75	24.94
4npq	47.3	27.76	24.94
6s6f	47.3	27.76	24.94
6rry	47.3	27.76	24.94
5ztk	47.3	27.76	24.94
5aqt	47.3	27.76	24.94
6i7g	47.3	27.76	24.94
3vjn	47.3	27.76	24.94
6nqx	47.3	27.76	24.94
4e5w	47.3	27.76	24.94
5cws	47.3	27.76	24.94
3nvo	47.3	27.76	24.94
3tom	47.3	27.76	24.94
5dbk	47.31	27.76	24.94
5vyj	47.31	27.76	24.93
6hq4	47.31	27.76	24.93
6a9p	47.32	27.76	24.93
4lh6	47.32	27.76	24.93
6iia	47.32	27.75	24.93
4e40	47.32	27.75	24.93
1qjb	47.32	27.75	24.93
5mto	47.32	27.75	24.93
4lk5	47.32	27.75	24.93
4wya	47.32	27.75	24.93
7tl5	47.32	27.75	24.93
4qze	47.32	27.75	24.93
7vra	47.32	27.75	24.93
9icv	47.31	27.75	24.93
4cei	47.31	27.75	24.93
5jjj	47.32	27.75	24.93
1ik7	47.32	27.75	24.93
3fse	47.32	27.75	24.93
6p6a	47.32	27.75	24.93
7uj1	47.32	27.75	24.93
7e1t	47.32	27.75	24.93
4ac5	47.32	27.75	24.93
5vch	47.32	27.75	24.93
5f9a	47.32	27.75	24.93
7b40	47.32	27.75	24.93
4i2h	47.32	27.75	24.93
6zi6	47.32	27.75	24.93
5k3g	47.32	27.75	24.93
5f7k	47.32	27.75	24.93
8p0d	47.32	27.75	24.93
2rbd	47.32	27.75	24.93
8td8	47.32	27.75	24.93
5ft9	47.32	27.75	24.93
6pl4	47.32	27.75	24.93
2f4j	47.32	27.75	24.93
5vu3	47.32	27.75	24.93
7jh6	47.32	27.75	24.93
5dzm	47.32	27.75	24.93
7e7f	47.32	27.75	24.93
6ipn	47.32	27.75	24.93
6dt4	47.32	27.75	24.93
6cpb	47.32	27.75	24.93
3i55	47.31	27.75	24.94
2yaj	47.31	27.76	24.94
5vb2	47.31	27.75	24.93
5awz	47.31	27.75	24.93
6s9b	47.31	27.75	24.93
4nem	47.31	27.75	24.93
4n5y	47.29	27.76	24.95
4wsx	47.27	27.77	24.96
6qtk	47.27	27.77	24.96
4c7t	47.27	27.77	24.96
4mq9	47.26	27.78	24.96
8sp4	47.26	27.78	24.96
7rfz	47.27	27.77	24.96
3by6	47.27	27.77	24.96
3t0m	47.27	27.77	24.96
3crp	47.27	27.77	24.96
5heh	47.26	27.78	24.96
7uj2	47.27	27.78	24.96
7b1o	47.27	27.78	24.96
5vma	47.27	27.78	24.96
4i21	47.26	27.78	24.96
1twg	47.26	27.78	24.96
5mfi	47.26	27.78	24.96
5d8r	47.26	27.78	24.96
2wqh	47.26	27.78	24.96
1rb4	47.26	27.78	24.96
7ick	47.26	27.78	24.96
1veq	47.27	27.77	24.96
1occ	47.27	27.77	24.96
6wie	47.27	27.77	24.96
3ehn	47.27	27.77	24.96
4kzg	47.28	27.77	24.95
5kkh	47.28	27.77	24.95
8qj4	47.28	27.77	24.95
7wvd	47.28	27.77	24.95
4zxl	47.28	27.77	24.95
6lrv	47.28	27.77	24.95
8j0q	47.28	27.77	24.95
8yvv	47.28	27.77	24.95
8cy2	47.27	27.77	24.95
5fcm	47.27	27.77	24.95
6x1i	47.28	27.77	24.95
4lun	47.28	27.77	24.95
4gph	47.28	27.77	24.95
6cyp	47.28	27.77	24.95
4g72	47.28	27.77	24.95
5fg1	47.28	27.77	24.95
4p1n	47.28	27.77	24.95
6rgn	47.28	27.77	24.95
4efb	47.28	27.77	24.95
8c3c	47.28	27.77	24.95
7cou	47.28	27.77	24.95
3mpq	47.28	27.77	24.95
7mgq	47.28	27.77	24.95
6fxh	47.28	27.77	24.95
7ets	47.28	27.77	24.95
2xmn	47.28	27.77	24.95
3cu7	47.27	27.78	24.95
7cdc	47.27	27.78	24.95
5sxu	47.27	27.78	24.95
3dsw	47.27	27.78	24.95
1zuq	47.27	27.78	24.95
1kph	47.27	27.78	24.95
7ob5	47.27	27.78	24.95
3rxy	47.27	27.78	24.96
6zre	47.27	27.78	24.95
1ik9	47.27	27.78	24.95
8i4q	47.27	27.78	24.95
3krp	47.27	27.78	24.95
4gkw	47.27	27.77	24.95
4hwl	47.27	27.77	24.95
6sqw	47.28	27.77	24.95
8kfq	47.27	27.77	24.95
1fs9	47.27	27.77	24.95
5u5r	47.28	27.77	24.95
7nr7	47.28	27.77	24.95
4ff3	47.28	27.77	24.95
8gti	47.28	27.77	24.95
5yiy	47.28	27.77	24.95
6r5l	47.28	27.77	24.95
8chv	47.28	27.77	24.95
3nwh	47.28	27.77	24.95
4gp4	47.28	27.77	24.95
6nwm	47.28	27.77	24.95
5xqi	47.28	27.77	24.95
7raa	47.28	27.77	24.95
3dpj	47.28	27.77	24.95
1cwq	47.29	27.77	24.95
4hcu	47.29	27.77	24.95
5kjk	47.29	27.77	24.95
8g4j	47.29	27.77	24.95
4r89	47.29	27.77	24.95
6t5a	47.29	27.77	24.95
1wvt	47.29	27.77	24.95
6zqt	47.29	27.77	24.95
8b77	47.29	27.77	24.95
5va4	47.29	27.77	24.95
7dij	47.29	27.77	24.95
4hat	47.29	27.77	24.94
2bcr	47.29	27.77	24.94
3odo	47.29	27.77	24.94
2xsn	47.29	27.77	24.94
4yvq	47.29	27.77	24.94
8rv0	47.29	27.77	24.94
4xr2	47.29	27.77	24.94
8b1e	47.29	27.77	24.94
3qt2	47.29	27.77	24.94
6fv8	47.29	27.77	24.94
4gp2	47.29	27.77	24.94
8abu	47.29	27.77	24.94
7k15	47.29	27.77	24.94
4nm8	47.28	27.77	24.95
3fye	47.28	27.77	24.95
6xv9	47.28	27.77	24.95
9crw	47.29	27.77	24.94
7kpl	47.29	27.77	24.94
6pyz	47.29	27.77	24.94
7zmz	47.29	27.77	24.94
7rbe	47.29	27.77	24.94
4pxk	47.29	27.77	24.94
5tbk	47.28	27.77	24.95
5y34	47.28	27.77	24.95
2x4l	47.28	27.77	24.95
7wkh	47.28	27.77	24.95
7znb	47.28	27.77	24.95
8h75	47.28	27.77	24.95
7qhg	47.28	27.77	24.95
6vnx	47.28	27.77	24.95
2y3w	47.28	27.77	24.95
4jdx	47.28	27.77	24.95
5k0i	47.28	27.77	24.95
1s64	47.28	27.77	24.95
5w2i	47.28	27.77	24.95
4qzh	47.28	27.77	24.95
4gtq	47.28	27.77	24.95
2pqn	47.28	27.77	24.95
5exf	47.28	27.77	24.95
4uyo	47.28	27.77	24.95
5nc5	47.28	27.77	24.95
3vi0	47.28	27.77	24.95
4hyj	47.28	27.76	24.95
7w28	47.28	27.76	24.95
8icb	47.28	27.76	24.95
5fg0	47.29	27.76	24.95
1hjb	47.29	27.76	24.95
4p67	47.29	27.76	24.95
5fzk	47.29	27.76	24.95
4o6m	47.29	27.76	24.95
8pha	47.29	27.76	24.95
3s90	47.29	27.76	24.95
8pqa	47.29	27.76	24.95
6csm	47.29	27.76	24.95
7wxr	47.29	27.76	24.95
5wjj	47.29	27.76	24.95
3sr2	47.29	27.76	24.95
5hf3	47.29	27.76	24.95
1k62	47.29	27.76	24.95
4dba	47.3	27.76	24.95
1zvz	47.3	27.76	24.94
3ttb	47.29	27.76	24.94
3miw	47.3	27.76	24.94
8kh2	47.3	27.76	24.94
4yd1	47.3	27.76	24.94
6yi8	47.3	27.76	24.94
3dbz	47.3	27.76	24.95
8j0x	47.3	27.76	24.94
6wa0	47.3	27.76	24.94
3sog	47.3	27.76	24.94
4xif	47.3	27.76	24.95
8u1a	47.3	27.76	24.94
1rcb	47.3	27.76	24.94
6cr7	47.3	27.76	24.94
5a4m	47.3	27.76	24.95
2e5l	47.29	27.76	24.95
5y78	47.29	27.76	24.95
3c98	47.29	27.76	24.95
3ksb	47.29	27.76	24.95
7rwi	47.29	27.76	24.95
3pl9	47.29	27.76	24.95
6lpc	47.29	27.76	24.95
9cys	47.29	27.76	24.95
1vdk	47.29	27.76	24.95
3ety	47.29	27.76	24.95
7m47	47.29	27.76	24.95
3oun	47.29	27.76	24.95
5il3	47.29	27.76	24.95
5jsi	47.29	27.76	24.95
5ovi	47.29	27.76	24.95
5f74	47.29	27.76	24.95
8sao	47.29	27.76	24.95
5cao	47.29	27.76	24.95
6uom	47.29	27.76	24.95
4uvb	47.29	27.76	24.95
2qoo	47.29	27.76	24.95
3ih9	47.29	27.76	24.95
1nzn	47.29	27.76	24.95
3s51	47.3	27.75	24.95
5upn	47.3	27.75	24.95
1k9x	47.3	27.75	24.95
6hdc	47.3	27.75	24.95
2xi7	47.3	27.75	24.95
6aua	47.3	27.75	24.95
4crw	47.3	27.75	24.95
6ga1	47.3	27.75	24.95
3pw1	47.3	27.75	24.94
4oh9	47.3	27.75	24.94
5w1i	47.31	27.75	24.94
7uwo	47.31	27.75	24.94
4ll7	47.31	27.75	24.94
6woz	47.31	27.75	24.94
4b9l	47.31	27.75	24.94
7kxz	47.31	27.75	24.94
5did	47.31	27.75	24.94
5e8k	47.31	27.75	24.94
5zlf	47.31	27.75	24.94
6i8z	47.31	27.75	24.94
6g7l	47.31	27.75	24.94
8hq5	47.31	27.75	24.94
5nlg	47.31	27.75	24.94
5xpd	47.31	27.75	24.94
2q32	47.32	27.75	24.94
5zui	47.32	27.75	24.94
1oa0	47.32	27.75	24.94
1uur	47.32	27.75	24.94
4x67	47.31	27.75	24.94
4w4l	47.31	27.75	24.94
5wun	47.31	27.75	24.94
5y7z	47.31	27.75	24.94
8q0p	47.3	27.75	24.94
2rd9	47.31	27.75	24.94
7a6k	47.3	27.75	24.94
6prl	47.3	27.75	24.94
8gsj	47.31	27.75	24.94
5a6b	47.3	27.75	24.94
5b6z	47.31	27.75	24.94
1jcr	47.31	27.75	24.94
3iwk	47.3	27.75	24.95
7xrl	47.3	27.76	24.95
7kt3	47.3	27.76	24.95
8rc9	47.29	27.76	24.95
5lwv	47.29	27.76	24.95
7xvz	47.29	27.76	24.95
6e6a	47.3	27.76	24.95
7k1i	47.29	27.76	24.95
8we2	47.3	27.76	24.95
8pp2	47.3	27.75	24.95
5ze6	47.31	27.75	24.95
5twp	47.3	27.75	24.95
8btq	47.31	27.75	24.95
5dn7	47.31	27.75	24.94
2gsf	47.31	27.75	24.95
3gnc	47.31	27.75	24.95
6hxy	47.31	27.75	24.95
4i2o	47.3	27.75	24.95
1tqg	47.3	27.75	24.95
8riu	47.3	27.75	24.95
3pg1	47.3	27.75	24.95
4pgw	47.3	27.75	24.95
4pp9	47.3	27.75	24.95
3ke4	47.3	27.75	24.95
5ip0	47.31	27.75	24.94
6v7u	47.31	27.75	24.94
4nq0	47.31	27.74	24.94
